age,Sr
0.001,0.709173
0.007,0.709190
0.013,0.709181
0.020,0.709176
0.026,0.709166
0.033,0.709194
0.039,0.709189
0.046,0.709183
0.052,0.709189
0.058,0.709179
0.065,0.709172
0.071,0.709167
0.078,0.709171
0.084,0.709175
0.090,0.709179
0.097,0.709182
0.122,0.709185
0.135,0.709180
0.142,0.709185
0.148,0.709180
0.154,0.709187
0.161,0.709185
0.167,0.709182
0.174,0.709183
0.180,0.709178
0.187,0.709174
0.193,0.709179
0.199,0.709179
0.206,0.709181
0.212,0.709184
0.219,0.709177
0.225,0.709180
0.231,0.709179
0.238,0.709176
0.244,0.709176
0.251,0.709186
0.257,0.709186
0.263,0.709192
0.270,0.709182
0.276,0.709184
0.283,0.709180
0.289,0.709180
0.295,0.709184
0.302,0.709176
0.308,0.709167
0.315,0.709168
0.321,0.709168
0.328,0.709174
0.334,0.709168
0.340,0.709169
0.341,0.709169
0.347,0.709166
0.354,0.709173
0.360,0.709172
0.367,0.709176
0.373,0.709170
0.379,0.709167
0.386,0.709173
0.392,0.709168
0.399,0.709183
0.405,0.709185
0.411,0.709172
0.418,0.709185
0.424,0.709182
0.431,0.709156
0.437,0.709166
0.444,0.709172
0.450,0.709174
0.456,0.709182
0.463,0.709163
0.469,0.709174
0.475,0.709181
0.476,0.709183
0.483,0.709170
0.489,0.709163
0.495,0.709169
0.502,0.709171
0.508,0.709174
0.515,0.709165
0.521,0.709165
0.527,0.709169
0.534,0.709176
0.540,0.709166
0.553,0.709168
0.560,0.709168
0.566,0.709167
0.572,0.709165
0.579,0.709169
0.585,0.709165
0.592,0.709161
0.598,0.709161
0.60,0.709205
0.604,0.709162
0.611,0.709158
0.617,0.709167
0.624,0.709163
0.630,0.709162
0.636,0.709159
0.643,0.709158
0.649,0.709157
0.656,0.709159
0.662,0.709158
0.668,0.709163
0.675,0.709170
0.681,0.709163
0.688,0.709162
0.694,0.709155
0.701,0.709167
0.707,0.709166
0.713,0.709151
0.720,0.709163
0.726,0.709167
0.733,0.709161
0.739,0.709150
0.745,0.709154
0.752,0.709167
0.758,0.709155
0.765,0.709161
0.771,0.709153
0.777,0.709157
0.796,0.709145
0.802,0.709146
0.808,0.709159
0.815,0.709168
0.821,0.709152
0.827,0.709142
0.833,0.709154
0.839,0.709153
0.845,0.709144
0.852,0.709158
0.858,0.709159
0.864,0.709159
0.870,0.709157
0.876,0.709147
0.883,0.709157
0.889,0.709151
0.895,0.709145
0.901,0.709154
0.907,0.709146
0.913,0.709157
0.920,0.709153
0.926,0.709158
0.932,0.709145
0.938,0.709148
0.950,0.709158
0.957,0.709139
0.963,0.709138
0.969,0.709155
0.975,0.709149
0.981,0.709162
0.988,0.709157
0.994,0.709156
1.001,0.709148
1.007,0.709139
1.014,0.709140
1.021,0.709145
1.027,0.709146
1.034,0.709141
1.04,0.709130
1.041,0.709155
1.047,0.709164
1.054,0.709149
1.061,0.709144
1.067,0.709141
1.074,0.709139
1.080,0.709140
1.086,0.709143
1.092,0.709155
1.129,0.709156
1.147,0.709145
1.166,0.709135
1.185,0.709138
1.203,0.709132
1.222,0.709132
1.240,0.709131
1.259,0.709133
1.278,0.709114
1.296,0.709121
1.309,0.709134
1.327,0.709123
1.346,0.709123
1.364,0.709107
1.383,0.709117
1.401,0.709113
1.420,0.709116
1.439,0.709107
1.457,0.709102
1.476,0.709102
1.494,0.709120
1.50,0.709117
1.513,0.709110
1.532,0.709122
1.550,0.709107
1.581,0.709118
1.600,0.709104
1.612,0.709107
1.631,0.709101
1.649,0.709099
1.668,0.709104
1.686,0.709114
1.705,0.709106
1.718,0.709097
1.737,0.709101
1.763,0.709111
1.783,0.709101
1.807,0.709124
1.831,0.709103
1.854,0.709108
1.878,0.709101
1.895,0.709101
1.919,0.709097
1.935,0.709094
1.959,0.709106
1.983,0.709088
2.006,0.709096
2.030,0.709074
2.054,0.709076
2.078,0.709085
2.09,0.709097
2.101,0.709088
2.125,0.709088
2.149,0.709086
2.173,0.709087
2.197,0.709080
2.220,0.709095
2.244,0.709086
2.268,0.709103
2.292,0.709094
2.308,0.709092
2.331,0.709079
2.355,0.709087
2.379,0.709088
2.403,0.709098
2.426,0.709080
2.450,0.709090
2.474,0.709075
2.498,0.709073
2.522,0.709088
2.569,0.709091
2.593,0.709069
2.615,0.709069
2.637,0.709073
2.652,0.709083
2.667,0.709065
2.689,0.709061
2.711,0.709070
2.726,0.709084
2.748,0.709079
2.770,0.709080
2.792,0.709061
2.80,0.709105
2.814,0.709052
2.835,0.709059
2.857,0.709079
2.879,0.709078
2.901,0.709079
2.923,0.709073
2.945,0.709084
2.967,0.709080
2.988,0.709069
3.003,0.709079
3.025,0.709074
3.047,0.709067
3.072,0.709069
3.098,0.709083
3.123,0.709087
3.146,0.709079
3.168,0.709068
3.190,0.709087
3.212,0.709073
3.234,0.709083
3.271,0.709092
3.299,0.709091
3.30,0.709080
3.32,0.709037
3.327,0.709066
3.352,0.709083
3.377,0.709082
3.393,0.709063
3.418,0.709067
3.442,0.709084
3.460,0.709070
3.484,0.709078
3.509,0.709056
3.533,0.709059
3.558,0.709057
3.583,0.709067
3.60,0.709064
3.609,0.709073
3.627,0.709073
3.639,0.709075
3.657,0.709075
3.674,0.709075
3.692,0.709063
3.709,0.709066
3.721,0.709066
3.739,0.709065
3.756,0.709053
3.774,0.709054
3.792,0.709066
3.80,0.709035
3.809,0.709070
3.827,0.709060
3.844,0.709062
3.862,0.709058
3.880,0.709064
3.897,0.709075
3.915,0.709075
3.932,0.709080
3.950,0.709064
3.967,0.709072
3.985,0.709066
3.997,0.709060
4.014,0.709062
4.032,0.709043
4.061,0.709060
4.079,0.709054
4.096,0.709044
4.114,0.709077
4.132,0.709068
4.149,0.709071
4.167,0.709062
4.184,0.709071
4.197,0.709050
4.218,0.709064
4.240,0.709062
4.262,0.709059
4.283,0.709051
4.298,0.709056
4.313,0.709060
4.32,0.709040
4.336,0.709062
4.358,0.709064
4.381,0.709049
4.40,0.709052
4.404,0.709050
4.427,0.709065
4.449,0.709057
4.491,0.709050
4.503,0.709042
4.527,0.709062
4.544,0.709055
4.562,0.709072
4.580,0.709066
4.597,0.709074
4.609,0.709065
4.626,0.709049
4.643,0.709058
4.660,0.709052
4.676,0.709049
4.693,0.709042
4.709,0.709054
4.726,0.709035
4.743,0.709043
4.759,0.709049
4.776,0.709061
4.794,0.709050
4.813,0.709064
4.832,0.709055
4.850,0.709062
4.869,0.709067
4.886,0.709053
4.90,0.709020
4.925,0.709058
4.952,0.709042
4.984,0.709042
5.00,0.709003
5.002,0.709050
5.021,0.709038
5.040,0.709041
5.053,0.709047
5.071,0.709039
5.090,0.709049
5.10,0.708994
5.109,0.709032
5.127,0.709035
5.146,0.709036
5.164,0.709046
5.183,0.709037
5.20,0.709029
5.202,0.709057
5.220,0.709040
5.239,0.709043
5.259,0.709037
5.279,0.709044
5.299,0.709040
5.30,0.709020
5.319,0.709043
5.339,0.709027
5.34,0.709096
5.359,0.709030
5.379,0.709031
5.399,0.709022
5.40,0.709008
5.418,0.709029
5.438,0.709028
5.45,0.709072
5.458,0.709020
5.478,0.709023
5.498,0.709015
5.50,0.708974
5.525,0.709015
5.545,0.709026
5.564,0.709026
5.584,0.709029
5.60,0.708983
5.604,0.709009
5.61,0.708991
5.624,0.709030
5.644,0.709028
5.658,0.709029
5.698,0.709012
5.70,0.709001
5.738,0.709030
5.758,0.709009
5.778,0.709030
5.797,0.709028
5.80,0.708949
5.819,0.709037
5.837,0.709016
5.857,0.709011
5.877,0.709007
5.896,0.708986
5.90,0.708987
5.913,0.708994
5.930,0.709004
5.947,0.708990
5.964,0.708993
5.982,0.708995
5.999,0.709000
6.00,0.708985
6.016,0.708985
6.033,0.708988
6.050,0.708989
6.068,0.708981
6.085,0.708982
6.10,0.708938
6.10,0.709003
6.102,0.708976
6.119,0.708990
6.134,0.708993
6.156,0.708965
6.174,0.708986
6.192,0.709000
6.20,0.708952
6.210,0.708983
6.229,0.708986
6.247,0.708975
6.270,0.708986
6.30,0.708931
6.311,0.708976
6.34,0.708977
6.338,0.708967
6.365,0.708985
6.392,0.708980
6.40,0.708908
6.419,0.708960
6.445,0.708962
6.452,0.708979
6.472,0.708977
6.480,0.708971
6.50,0.708976
6.499,0.708984
6.50,0.708922
6.504,0.708973
6.533,0.708971
6.558,0.708984
6.577,0.708989
6.596,0.708972
6.60,0.708944
6.613,0.708976
6.633,0.708983
6.652,0.708961
6.671,0.708956
6.691,0.708974
6.70,0.708912
6.708,0.708972
6.728,0.708964
6.746,0.708966
6.765,0.708967
6.785,0.708983
6.80,0.708930
6.802,0.708964
6.822,0.708959
6.841,0.708967
6.859,0.708968
6.879,0.708962
6.896,0.708984
